Sector,count
Financial Services,606
Other,567
Food and Beverage Products,364
Chemicals,324
Energy,312
Equipment,289
Technology Hardware,273
Real Estate,203
Metals Products,186
Construction,183
Energy Utilities,165
Healthcare Products,164
Automotive,158
Telecommunications,156
Conglomerates,153
Retailers,142
Construction Materials,127
Logistics,121
Mining,121
Non-Profit / Services,111
Commercial Services,98
Tourism/Leisure,76
Consumer Durables,74
Computers,73
Textiles and Apparel,67
Aviation,67
Household and Personal Products,66
Water Utilities,59
Healthcare Services,56
Forest and Paper Products,53
Railroad,51
Agriculture,49
Media,48
Public Agency,48
Universities,34
Waste Management,24
Toys,10
Tobacco,4
