Name,Sector,Country,Group,report_count
TERUMO,Healthcare Products,Japan,Consumer,9
Infosys Limited,Commercial Services,India,Financial,8
Iino Lines,Logistics,Japan,Financial,7
Iwatani,Energy Utilities,Japan,Industrial,7
NSK Ltd.,Equipment,Japan,Industrial,7
Jtekt Corporation,Metals Products,Japan,Industrial,7
Toyoda Gosei Company Limited,Automotive,Japan,Industrial,6
Aeon,Retailers,Japan,Consumer,6
THK Company Limited,Metals Products,Japan,Industrial,6
Madison Gas and Electric,Energy,United States of America,Industrial,6
Canfor Corp.,Forest and Paper Products,Canada,Other,6
Shin-Etsu Chemical,Chemicals,Japan,Industrial,6
TECHNO ASSOCIE,Equipment,Japan,Industrial,6
TNT Express,Logistics,Netherlands,Financial,6
Sponda,Real Estate,Finland,Financial,6
Foster,Equipment,Japan,Industrial,6
Swiss Re,Financial Services,Switzerland,Financial,5
CITIC Securities,Financial Services,Mainland China,Financial,5
Sumitomo Metal Mining,Mining,Japan,Industrial,5
Hitachi Chemical,Chemicals,Japan,Industrial,5
Inpex,Energy,Japan,Industrial,5
Rockline Industries,Household and Personal Products,United States of America,Consumer,5
Royal Bank of Canada (RBC),Financial Services,Canada,Financial,5
Sappi Group,Forest and Paper Products,South Africa,Other,5
CVS Health,Healthcare Products,United States of America,Consumer,5
Orient Overseas International,Logistics,Hong Kong,Financial,5
Daiwa Securities Group,Financial Services,Japan,Financial,5
East Japan Railway,Railroad,Japan,Other,5
Brother,Technology Hardware,Japan,Consumer,5
Chubu Electric Power,Energy,Japan,Industrial,5
IBIDEN,Equipment,Japan,Industrial,5
Fluor,Other,United States of America,Other,5
Westbank First Nation,Public Agency,Canada,Other,5
Vodafone Greece,Telecommunications,Greece,Consumer,5
Sonae Sierra,Real Estate,Portugal,Financial,5
ASML,Technology Hardware,Netherlands,Consumer,4
Morgan Stanley,Financial Services,United States of America,Financial,4
Azbil,Conglomerates,Japan,Financial,4
OCBC Wing Hang Bank,Financial Services,Hong Kong,Financial,4
H.I.S.,Tourism/Leisure,Japan,Other,4
Xerox,Equipment,United States of America,Industrial,4
Eurochem,Chemicals,Russian Federation,Industrial,4
BHEL,Energy Utilities,India,Industrial,4
Minto,Real Estate,Canada,Financial,4
Big Yellow Self Storage,Commercial Services,United Kingdom of Great Britain and Northern Ireland,Financial,4
