filename,company_name,year,Name,Year,file,Organization_type,Size,Sector,Sec_SASB,Country,Region,OECD,english_non_english,file_full_name,file_empty
104_2016.txt,104,2016,104,2016,104_2016,Private company,MNE,Media,Technology and Communications,Taiwan,Asia,,non-english,104_2016.txt,False
20kmdeLausanne_2016.txt,20kmdeLausanne,2016,20km de Lausanne,2016,20kmdeLausanne_2016,Non-profit organization,SME,Tourism/Leisure,Tourism/Leisure,Switzerland,Europe,,non-english,20kmdeLausanne_2016.txt,False
20kmdeLausanne_2017.txt,20kmdeLausanne,2017,20km de Lausanne,2017,20kmdeLausanne_2017,Non-profit organization,SME,Tourism/Leisure,Tourism/Leisure,Switzerland,Europe,,non-english,20kmdeLausanne_2017.txt,False
3MBrazil_2012.txt,3MBrazil,2012,3M Brazil,2012,3MBrazil_2012,Subsidiary,Large,Conglomerates,Conglomerates,Brazil,Latin America & the Caribbean,No,non-english,3MBrazil_2012.txt,False
4DSOFTKft._2016.txt,4DSOFTKft.,2016,4D SOFT Kft.,2016,4DSOFTKft._2016,Private company,SME,Computers,Technology and Communications,Hungary,Europe,,non-english,4DSOFTKft._2016.txt,False
A&E_2016.txt,A&E,2016,A&E,2016,A&E_2016,Private company,Large,Textiles and Apparel,Consumer Goods,United States of America,Northern America,No,non-english,A&E_2016.txt,False
A&E_2017.txt,A&E,2017,A&E,2017,A&E_2017,Private company,Large,Textiles and Apparel,Consumer Goods,United States of America,Northern America,,non-english,A&E_2017.txt,False
A1_2017.txt,A1,2017,A1,2017,A1_2017,Private company,Large,Telecommunications,Technology and Communications,Austria,Europe,,non-english,A1_2017.txt,False
AACTechnologies_2014.txt,AACTechnologies,2014,AAC Technologies,2014,AACTechnologies_2014,Private company,Large,Technology Hardware,Technology and Communications,Hong Kong,Asia,No,non-english,AACTechnologies_2014.txt,False
AACTechnologies_2015.txt,AACTechnologies,2015,AAC Technologies,2015,AACTechnologies_2015,Private company,Large,Technology Hardware,Technology and Communications,Hong Kong,Asia,No,non-english,AACTechnologies_2015.txt,False
AAK_2015.txt,AAK,2015,AAK,2015,AAK_2015,Private company,Large,Conglomerates,Conglomerates,Sweden,Europe,Yes,english,AAK_2015.txt,False
AaltoUniversity_2017.txt,AaltoUniversity,2017,Aalto University,2017,AaltoUniversity_2017,Public institution,Large,Universities,Services,Finland,Europe,,english,AaltoUniversity_2017.txt,False
AbacusPropertyGroup_2015.txt,AbacusPropertyGroup,2015,Abacus Property Group,2015,AbacusPropertyGroup_2015,Private company,SME,Real Estate,Infrastructure,Australia,Oceania,No,english,AbacusPropertyGroup_2015.txt,False
ABBAseaBrownBoveriLtd_2012.txt,ABBAseaBrownBoveriLtd,2012,ABB Asea Brown Boveri Ltd,2012,ABBAseaBrownBoveriLtd_2012,Private company,MNE,Equipment,Resource Transformation,Switzerland,Europe,Yes,english,ABBAseaBrownBoveriLtd_2012.txt,False
ABBAseaBrownBoveriLtd_2016.txt,ABBAseaBrownBoveriLtd,2016,ABB Asea Brown Boveri Ltd,2016,ABBAseaBrownBoveriLtd_2016,Private company,MNE,Equipment,Resource Transformation,Switzerland,Europe,Yes,english,ABBAseaBrownBoveriLtd_2016.txt,False
AbbottChina_2014.txt,AbbottChina,2014,Abbott China,2014,AbbottChina_2014,Subsidiary,Large,Healthcare Products,Healthcare,Mainland China,Asia,,non-english,AbbottChina_2014.txt,False
AbbottIreland_2017.txt,AbbottIreland,2017,Abbott Ireland,2017,AbbottIreland_2017,Subsidiary,Large,Healthcare Products,Healthcare,Ireland,Europe,,english,AbbottIreland_2017.txt,False
AbbottRussia_2016.txt,AbbottRussia,2016,Abbott Russia,2016,AbbottRussia_2016,Private company,MNE,Chemicals,Resource Transformation,Russian Federation,Europe,,non-english,AbbottRussia_2016.txt,False
ABCPRODEIN_2014.txt,ABCPRODEIN,2014,ABC PRODEIN,2014,ABCPRODEIN_2014,Non-profit organization,SME,Non-Profit / Services,Non-Profit / Services,Colombia,Latin America & the Caribbean,No,non-english,ABCPRODEIN_2014.txt,False
Abellio_2010.txt,Abellio,2010,Abellio,2010,Abellio_2010,,Large,Railroad,Infrastructure,United Kingdom of Great Britain and Northern Ireland,Europe,,english,Abellio_2010.txt,False
