"Name","Year","file","Organization_type","Size","Sector","Sec_SASB","Country","Region","OECD","english_non_english","file_full_name"
"Banrisul",2000,"Banrisul_2000",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english","Banrisul_2000.txt"
"Canfor Corp.",2002,"CanforCorp._2002",NA,"MNE","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"english","CanforCorp._2002.txt"
"JFE Holdings",2002,"JFEHoldings_2002",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"english","JFEHoldings_2002.txt"
"Ricoh",2002,"Ricoh_2002",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english","Ricoh_2002.txt"
"Westpac Banking Corporation",2002,"WestpacBankingCorporation_2002",NA,"MNE","Financial Services","Financials","Australia","Oceania",NA,"english","WestpacBankingCorporation_2002.txt"
"Canfor Corp.",2003,"CanforCorp._2003",NA,"MNE","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"english","CanforCorp._2003.txt"
"Industria Mexicana de Coca-Cola",2003,"IndustriaMexicanadeCoca-Cola_2003",NA,"Large","Food and Beverage Products","Food and Beverage","Mexico","Latin America & the Caribbean",NA,"non-english","IndustriaMexicanadeCoca-Cola_2003.txt"
"Mandom",2003,"Mandom_2003",NA,"Large","Consumer Durables","Consumer Goods","Japan","Asia",NA,"non-english","Mandom_2003.txt"
"Motor Oil Hellas",2003,"MotorOilHellas_2003",NA,"MNE","Energy","Extractives and Minerals Processing","Greece","Europe",NA,"english","MotorOilHellas_2003.txt"
"Banrisul",2004,"Banrisul_2004",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english","Banrisul_2004.txt"
"Industria Mexicana de Coca-Cola",2004,"IndustriaMexicanadeCoca-Cola_2004",NA,"Large","Food and Beverage Products","Food and Beverage","Mexico","Latin America & the Caribbean",NA,"non-english","IndustriaMexicanadeCoca-Cola_2004.txt"
"Mandom",2004,"Mandom_2004",NA,"Large","Consumer Durables","Consumer Goods","Japan","Asia",NA,"non-english","Mandom_2004.txt"
"Starbucks Coffee Company",2004,"StarbucksCoffeeCompany_2004",NA,"MNE","Food and Beverage Products","Food and Beverage","United States of America","Northern America",NA,"english","StarbucksCoffeeCompany_2004.txt"
"Wilson Bayly Holmes-Ovcon",2004,"WilsonBaylyHolmes-Ovcon_2004",NA,"Large","Other","Other","South Africa","Africa",NA,"english","WilsonBaylyHolmes-Ovcon_2004.txt"
"Banrisul",2005,"Banrisul_2005",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english","Banrisul_2005.txt"
"Citigroup",2005,"Citigroup_2005",NA,"MNE","Financial Services","Financials","United States of America","Northern America",NA,"english","Citigroup_2005.txt"
"Egged Israel Transport Cooperative Society",2005,"EggedIsraelTransportCooperativeSociety_2005",NA,"Large","Logistics","Transportation","Israel","Asia",NA,"non-english","EggedIsraelTransportCooperativeSociety_2005.txt"
"GRI",2005,"GRI_2005",NA,"SME","Non-Profit / Services","Non-Profit / Services","Netherlands","Europe",NA,"english","GRI_2005.txt"
"Industria Mexicana de Coca-Cola",2005,"IndustriaMexicanadeCoca-Cola_2005",NA,"Large","Food and Beverage Products","Food and Beverage","Mexico","Latin America & the Caribbean",NA,"non-english","IndustriaMexicanadeCoca-Cola_2005.txt"
"KBC Group",2005,"KBCGroup_2005",NA,"Large","Financial Services","Financials","Belgium","Europe",NA,"english","KBCGroup_2005.txt"
"Kureha Chemical Industries",2005,"KurehaChemicalIndustries_2005",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"non-english","KurehaChemicalIndustries_2005.txt"
"Mandom",2005,"Mandom_2005",NA,"Large","Consumer Durables","Consumer Goods","Japan","Asia",NA,"non-english","Mandom_2005.txt"
"Procter & Gamble",2005,"Procter&Gamble_2005",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english","Procter&Gamble_2005.txt"
"Vodafone NZ",2005,"VodafoneNZ_2005",NA,"Large","Telecommunications","Technology and Communications","New Zealand","Oceania",NA,"english","VodafoneNZ_2005.txt"
"Wilson Bayly Holmes-Ovcon",2005,"WilsonBaylyHolmes-Ovcon_2005",NA,"Large","Other","Other","South Africa","Africa",NA,"english","WilsonBaylyHolmes-Ovcon_2005.txt"
"Alpine Electronics",2006,"AlpineElectronics_2006",NA,"MNE","Consumer Durables","Consumer Goods","Japan","Asia",NA,"english","AlpineElectronics_2006.txt"
"Alps Electric",2006,"AlpsElectric_2006",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"english","AlpsElectric_2006.txt"
"ASUSTEK",2006,"ASUSTEK_2006",NA,"MNE","Computers","Technology and Communications","Taiwan","Asia",NA,"non-english","ASUSTEK_2006.txt"
"British American Tobacco Malaysia",2006,"BritishAmericanTobaccoMalaysia_2006",NA,"Large","Tobacco","Food and Beverage","Malaysia","Asia",NA,"non-english","BritishAmericanTobaccoMalaysia_2006.txt"
"Canfor Corp.",2006,"CanforCorp._2006",NA,"MNE","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"english","CanforCorp._2006.txt"
"China Steel Corporation (CSC)",2006,"ChinaSteelCorporation(CSC)_2006",NA,"MNE","Metals Products","Extractives and Minerals Processing","Taiwan","Asia",NA,"non-english","ChinaSteelCorporation(CSC)_2006.txt"
"Codelco",2006,"Codelco_2006",NA,"Large","Mining","Extractives and Minerals Processing","Chile","Latin America & the Caribbean",NA,"non-english","Codelco_2006.txt"
"Comarca Gipuzkoa - Osakidetza",2006,"ComarcaGipuzkoa-Osakidetza_2006",NA,"Large","Healthcare Services","Healthcare","Spain","Europe",NA,"non-english","ComarcaGipuzkoa-Osakidetza_2006.txt"
"Dainippon Screen",2006,"DainipponScreen_2006",NA,"Large","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english","DainipponScreen_2006.txt"
"Daiwa House",2006,"DaiwaHouse_2006",NA,"Large","Construction","Infrastructure","Japan","Asia",NA,"non-english","DaiwaHouse_2006.txt"
"Eli Lilly",2006,"EliLilly_2006",NA,"MNE","Healthcare Products","Healthcare","United States of America","Northern America",NA,"english","EliLilly_2006.txt"
"ESPEC",2006,"ESPEC_2006",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"non-english","ESPEC_2006.txt"
"House Foods",2006,"HouseFoods_2006",NA,"Large","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"non-english","HouseFoods_2006.txt"
"Itoham",2006,"Itoham_2006",NA,"Large","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"non-english","Itoham_2006.txt"
"Joshin",2006,"Joshin_2006",NA,"SME","Retailers","Consumer Goods","Japan","Asia",NA,"non-english","Joshin_2006.txt"
"J-Power",2006,"J-Power_2006",NA,"Large","Energy","Extractives and Minerals Processing","Japan","Asia",NA,"non-english","J-Power_2006.txt"
"KOBE STEEL, LTD. (Kobelco)",2006,"KOBESTEEL,LTD.(Kobelco)_2006",NA,"MNE","Metals Products","Extractives and Minerals Processing","Japan","Asia",NA,"non-english","KOBESTEEL,LTD.(Kobelco)_2006.txt"
"Kureha Chemical Industries",2006,"KurehaChemicalIndustries_2006",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"non-english","KurehaChemicalIndustries_2006.txt"
"Kyodo Printing Group",2006,"KyodoPrintingGroup_2006",NA,"Large","Other","Other","Japan","Asia",NA,"non-english","KyodoPrintingGroup_2006.txt"
"Lintec",2006,"Lintec_2006",NA,"MNE","Other","Other","Japan","Asia",NA,"non-english","Lintec_2006.txt"
"Madison Gas and Electric",2006,"MadisonGasandElectric_2006",NA,"Large","Energy","Extractives and Minerals Processing","United States of America","Northern America",NA,"english","MadisonGasandElectric_2006.txt"
"MAEDA",2006,"MAEDA_2006",NA,"MNE","Construction","Infrastructure","Japan","Asia",NA,"non-english","MAEDA_2006.txt"
"Mandom",2006,"Mandom_2006",NA,"Large","Consumer Durables","Consumer Goods","Japan","Asia",NA,"non-english","Mandom_2006.txt"
"Megmilk",2006,"Megmilk_2006",NA,"Large","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"non-english","Megmilk_2006.txt"
"NSK Ltd.",2006,"NSKLtd._2006",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"non-english","NSKLtd._2006.txt"
"Obayashi",2006,"Obayashi_2006",NA,"MNE","Construction","Infrastructure","Japan","Asia",NA,"non-english","Obayashi_2006.txt"
"Okamura",2006,"Okamura_2006",NA,"MNE","Other","Other","Japan","Asia",NA,"non-english","Okamura_2006.txt"
"Oki Electric Industry",2006,"OkiElectricIndustry_2006",NA,"MNE","Household and Personal Products","Consumer Goods","Japan","Asia",NA,"non-english","OkiElectricIndustry_2006.txt"
"Ono Pharmaceutical",2006,"OnoPharmaceutical_2006",NA,"MNE","Chemicals","Resource Transformation","Japan","Asia",NA,"non-english","OnoPharmaceutical_2006.txt"
"Orange România",2006,"OrangeRomânia_2006",NA,"Large","Telecommunications","Technology and Communications","Romania","Europe",NA,"non-english","OrangeRomânia_2006.txt"
"Penta-Ocean",2006,"Penta-Ocean_2006",NA,"MNE","Construction","Infrastructure","Japan","Asia",NA,"non-english","Penta-Ocean_2006.txt"
"Procter & Gamble",2006,"Procter&Gamble_2006",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english","Procter&Gamble_2006.txt"
"Rinnai",2006,"Rinnai_2006",NA,"MNE","Energy Utilities","Infrastructure","Japan","Asia",NA,"non-english","Rinnai_2006.txt"
"Riso",2006,"Riso_2006",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"non-english","Riso_2006.txt"
"Sawafuji",2006,"Sawafuji_2006",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"non-english","Sawafuji_2006.txt"
"Shinhan Financial Group",2006,"ShinhanFinancialGroup_2006",NA,"Large","Financial Services","Financials","Korea, Republic of","Asia",NA,"non-english","ShinhanFinancialGroup_2006.txt"
"SOMAR",2006,"SOMAR_2006",NA,"MNE","Chemicals","Resource Transformation","Japan","Asia",NA,"non-english","SOMAR_2006.txt"
"Sumitomo Riko",2006,"SumitomoRiko_2006",NA,"MNE","Other","Other","Japan","Asia",NA,"non-english","SumitomoRiko_2006.txt"
"SWCC",2006,"SWCC_2006",NA,"MNE","Metals Products","Extractives and Minerals Processing","Japan","Asia",NA,"non-english","SWCC_2006.txt"
"Taiheiyo Cement",2006,"TaiheiyoCement_2006",NA,"Large","Construction Materials","Extractives and Minerals Processing","Japan","Asia",NA,"non-english","TaiheiyoCement_2006.txt"
"Takasago",2006,"Takasago_2006",NA,"MNE","Other","Other","Japan","Asia",NA,"non-english","Takasago_2006.txt"
"Takashimaya",2006,"Takashimaya_2006",NA,"MNE","Retailers","Consumer Goods","Japan","Asia",NA,"non-english","Takashimaya_2006.txt"
"Telekom Slovakia",2006,"TelekomSlovakia_2006",NA,"Large","Telecommunications","Technology and Communications","Slovak Republic","Europe",NA,"non-english","TelekomSlovakia_2006.txt"
"TERUMO",2006,"TERUMO_2006",NA,"MNE","Healthcare Products","Healthcare","Japan","Asia",NA,"english","TERUMO_2006.txt"
"TOA OIL",2006,"TOAOIL_2006",NA,"MNE","Energy","Extractives and Minerals Processing","Japan","Asia",NA,"non-english","TOAOIL_2006.txt"
"Tohoku Electric Power",2006,"TohokuElectricPower_2006",NA,"Large","Energy","Extractives and Minerals Processing","Japan","Asia",NA,"non-english","TohokuElectricPower_2006.txt"
"tok",2006,"tok_2006",NA,"MNE","Chemicals","Resource Transformation","Japan","Asia",NA,"non-english","tok_2006.txt"
"TOPCON",2006,"TOPCON_2006",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"non-english","TOPCON_2006.txt"
"Transportes Urbanos de Sevilla",2006,"TransportesUrbanosdeSevilla_2006",NA,"Large","Logistics","Transportation","Spain","Europe",NA,"non-english","TransportesUrbanosdeSevilla_2006.txt"
"Tsumura & Co.",2006,"Tsumura&Co._2006",NA,"MNE","Chemicals","Resource Transformation","Japan","Asia",NA,"non-english","Tsumura&Co._2006.txt"
"UNITIKA",2006,"UNITIKA_2006",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"non-english","UNITIKA_2006.txt"
"Vodafone Espana",2006,"VodafoneEspana_2006",NA,"Large","Telecommunications","Technology and Communications","Spain","Europe",NA,"non-english","VodafoneEspana_2006.txt"
"Wilson Bayly Holmes-Ovcon",2006,"WilsonBaylyHolmes-Ovcon_2006",NA,"Large","Other","Other","South Africa","Africa",NA,"english","WilsonBaylyHolmes-Ovcon_2006.txt"
"Zeon Corp.",2006,"ZeonCorp._2006",NA,"MNE","Chemicals","Resource Transformation","Japan","Asia",NA,"non-english","ZeonCorp._2006.txt"
"Alps Electric",2007,"AlpsElectric_2007",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"english","AlpsElectric_2007.txt"
"Applied Materials",2007,"AppliedMaterials_2007",NA,"Large","Technology Hardware","Technology and Communications","United States of America","Northern America",NA,"english","AppliedMaterials_2007.txt"
"ASUSTEK",2007,"ASUSTEK_2007",NA,"MNE","Computers","Technology and Communications","Taiwan","Asia",NA,"non-english","ASUSTEK_2007.txt"
"Baoshan Iron & Steel",2007,"BaoshanIron&Steel_2007",NA,"Large","Metals Products","Extractives and Minerals Processing","Mainland China","Asia",NA,"non-english","BaoshanIron&Steel_2007.txt"
"Baosteel Group Corporation",2007,"BaosteelGroupCorporation_2007",NA,"Large","Metals Products","Extractives and Minerals Processing","Mainland China","Asia",NA,"non-english","BaosteelGroupCorporation_2007.txt"
"Canfor Corp.",2007,"CanforCorp._2007",NA,"MNE","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"english","CanforCorp._2007.txt"
"China Datang Corporation (CDT)",2007,"ChinaDatangCorporation(CDT)_2007",NA,"Large","Energy Utilities","Infrastructure","Mainland China","Asia",NA,"non-english","ChinaDatangCorporation(CDT)_2007.txt"
"China Huaneng Group",2007,"ChinaHuanengGroup_2007",NA,"Large","Energy","Extractives and Minerals Processing","Mainland China","Asia",NA,"non-english","ChinaHuanengGroup_2007.txt"
"Cisco Systems, Inc.",2007,"CiscoSystems,Inc._2007",NA,"MNE","Technology Hardware","Technology and Communications","United States of America","Northern America",NA,"english","CiscoSystems,Inc._2007.txt"
"Dainippon Screen",2007,"DainipponScreen_2007",NA,"Large","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english","DainipponScreen_2007.txt"
"Daiwa House",2007,"DaiwaHouse_2007",NA,"Large","Construction","Infrastructure","Japan","Asia",NA,"non-english","DaiwaHouse_2007.txt"
"Embraco",2007,"Embraco_2007",NA,"Large","Equipment","Resource Transformation","Brazil","Latin America & the Caribbean",NA,"non-english","Embraco_2007.txt"
"ESPEC",2007,"ESPEC_2007",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"non-english","ESPEC_2007.txt"
"Eurochem",2007,"Eurochem_2007",NA,"Large","Chemicals","Resource Transformation","Russian Federation","Europe",NA,"english","Eurochem_2007.txt"
"Exeo",2007,"Exeo_2007",NA,"Large","Construction","Infrastructure","Japan","Asia",NA,"non-english","Exeo_2007.txt"
"Grupo Liberty Seguros",2007,"GrupoLibertySeguros_2007",NA,"Large","Financial Services","Financials","Spain","Europe",NA,"non-english","GrupoLibertySeguros_2007.txt"
"HiPP GmbH & Co. Produktion KG",2007,"HiPPGmbH&Co.ProduktionKG_2007",NA,"Large","Food and Beverage Products","Food and Beverage","Germany","Europe",NA,"non-english","HiPPGmbH&Co.ProduktionKG_2007.txt"
"House Foods",2007,"HouseFoods_2007",NA,"Large","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"non-english","HouseFoods_2007.txt"
"Informa",2007,"Informa_2007",NA,"MNE","Other","Other","United Kingdom of Great Britain and Northern Ireland","Europe",NA,"non-english","Informa_2007.txt"
"International Union for the Conservation of Nature (IUCN)",2007,"InternationalUnionfortheConservationofNature(IUCN)_2007",NA,"Large","Other","Other","Switzerland","Europe",NA,"english","InternationalUnionfortheConservationofNature(IUCN)_2007.txt"
"Isetan",2007,"Isetan_2007",NA,"Large","Retailers","Consumer Goods","Japan","Asia",NA,"non-english","Isetan_2007.txt"
"Iwatani",2007,"Iwatani_2007",NA,"MNE","Energy Utilities","Infrastructure","Japan","Asia",NA,"english","Iwatani_2007.txt"
"Joshin",2007,"Joshin_2007",NA,"SME","Retailers","Consumer Goods","Japan","Asia",NA,"non-english","Joshin_2007.txt"
"J-Power",2007,"J-Power_2007",NA,"Large","Energy","Extractives and Minerals Processing","Japan","Asia",NA,"non-english","J-Power_2007.txt"
"Karsten",2007,"Karsten_2007",NA,"Large","Textiles and Apparel","Consumer Goods","Brazil","Latin America & the Caribbean",NA,"non-english","Karsten_2007.txt"
"KOBE STEEL, LTD. (Kobelco)",2007,"KOBESTEEL,LTD.(Kobelco)_2007",NA,"MNE","Metals Products","Extractives and Minerals Processing","Japan","Asia",NA,"non-english","KOBESTEEL,LTD.(Kobelco)_2007.txt"
"Konica Minolta Group",2007,"KonicaMinoltaGroup_2007",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english","KonicaMinoltaGroup_2007.txt"
"Kureha Chemical Industries",2007,"KurehaChemicalIndustries_2007",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"non-english","KurehaChemicalIndustries_2007.txt"
"Kyodo Printing Group",2007,"KyodoPrintingGroup_2007",NA,"Large","Other","Other","Japan","Asia",NA,"non-english","KyodoPrintingGroup_2007.txt"
"Lintec",2007,"Lintec_2007",NA,"MNE","Other","Other","Japan","Asia",NA,"non-english","Lintec_2007.txt"
"LION Corporation",2007,"LIONCorporation_2007",NA,"Large","Consumer Durables","Consumer Goods","Japan","Asia",NA,"non-english","LIONCorporation_2007.txt"
"Lipor - Serviço Intermunicipalizado de Gestão de Resíduos do Grande Porto",2007,"Lipor-ServiçoIntermunicipalizadodeGestãodeResíduosdoGrandePorto_2007",NA,"SME","Waste Management","Infrastructure","Portugal","Europe",NA,"non-english","Lipor-ServiçoIntermunicipalizadodeGestãodeResíduosdoGrandePorto_2007.txt"
"Madison Gas and Electric",2007,"MadisonGasandElectric_2007",NA,"Large","Energy","Extractives and Minerals Processing","United States of America","Northern America",NA,"english","MadisonGasandElectric_2007.txt"
"MAEDA",2007,"MAEDA_2007",NA,"MNE","Construction","Infrastructure","Japan","Asia",NA,"non-english","MAEDA_2007.txt"
"Mandom",2007,"Mandom_2007",NA,"Large","Consumer Durables","Consumer Goods","Japan","Asia",NA,"non-english","Mandom_2007.txt"
"McDonald's Corporation",2007,"McDonald'sCorporation_2007",NA,"MNE","Food and Beverage Products","Food and Beverage","United States of America","Northern America",NA,"english","McDonald'sCorporation_2007.txt"
"Megmilk",2007,"Megmilk_2007",NA,"Large","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"non-english","Megmilk_2007.txt"
"Mitsukoshi",2007,"Mitsukoshi_2007",NA,"Large","Retailers","Consumer Goods","Japan","Asia",NA,"non-english","Mitsukoshi_2007.txt"
"Obayashi",2007,"Obayashi_2007",NA,"MNE","Construction","Infrastructure","Japan","Asia",NA,"non-english","Obayashi_2007.txt"
"Okamura",2007,"Okamura_2007",NA,"MNE","Other","Other","Japan","Asia",NA,"non-english","Okamura_2007.txt"
"Oki Electric Industry",2007,"OkiElectricIndustry_2007",NA,"MNE","Household and Personal Products","Consumer Goods","Japan","Asia",NA,"non-english","OkiElectricIndustry_2007.txt"
"Ono Pharmaceutical",2007,"OnoPharmaceutical_2007",NA,"MNE","Chemicals","Resource Transformation","Japan","Asia",NA,"non-english","OnoPharmaceutical_2007.txt"
"Orange România",2007,"OrangeRomânia_2007",NA,"Large","Telecommunications","Technology and Communications","Romania","Europe",NA,"non-english","OrangeRomânia_2007.txt"
